cohort_month,age_day,avg_cum_views_est
2007-07,1,14160.533164189925
2007-07,2,28321.06632837985
2007-07,3,42481.599492569774
2007-07,4,56642.1326567597
2007-07,5,70802.66582094962
2007-07,6,84963.19898513955
2007-07,7,99123.73214932947
2007-07,8,113284.2653135194
2007-07,9,127444.79847770932
2007-07,10,141605.33164189925
2007-07,11,155765.86480608917
2007-07,12,169926.3979702791
2007-07,13,184086.93113446902
2007-07,14,198247.46429865895
2007-07,15,212407.99746284887
2007-07,16,226568.5306270388
2007-07,17,240729.06379122872
2007-07,18,254889.59695541864
2007-07,19,269050.1301196086
2007-07,20,283210.6632837985
2007-07,21,297371.1964479884
2007-07,22,311531.72961217834
2007-07,23,325692.2627763683
2007-07,24,339852.7959405582
2007-07,25,354013.3291047481
2007-07,26,368173.86226893804
2007-07,27,382334.395433128
2007-07,28,396494.9285973179
2007-07,29,410655.4617615078
2007-07,30,424815.99492569774
2007-07,31,438976.5280898877
2007-07,32,453137.0612540776
2007-07,33,467297.5944182675
2007-07,34,481458.12758245744
2007-07,35,495618.6607466474
2007-07,36,509779.1939108373
2007-07,37,523939.7270750272
2007-07,38,538100.2602392172
2007-07,39,552260.7934034071
2007-07,40,566421.326567597
2007-07,41,580581.8597317869
2007-07,42,594742.3928959768
2007-07,43,608902.9260601668
2007-07,44,623063.4592243567
2007-07,45,637223.9923885466
2007-07,46,651384.5255527366
2007-07,47,665545.0587169265
2007-07,48,679705.5918811164
2007-07,49,693866.1250453063
2007-07,50,708026.6582094962
2007-07,51,722187.1913736862
2007-07,52,736347.7245378761
2007-07,53,750508.257702066
2007-07,54,764668.790866256
2007-07,55,778829.3240304459
2007-07,56,792989.8571946358
2007-07,57,807150.3903588257
2007-07,58,821310.9235230156
2007-07,59,835471.4566872056
2007-07,60,849631.9898513955
2007-07,61,863792.5230155854
2007-07,62,877953.0561797754
2007-07,63,892113.5893439653
2007-07,64,906274.1225081552
2007-07,65,920434.6556723451
2007-07,66,934595.188836535
2007-07,67,948755.722000725
2007-07,68,962916.2551649149
2007-07,69,977076.7883291048
2007-07,70,991237.3214932948
2007-07,71,1005397.8546574847
2007-07,72,1019558.3878216746
2007-07,73,1033718.9209858645
2007-07,74,1047879.4541500544
2007-07,75,1062039.9873142443
2007-07,76,1076200.5204784344
2007-07,77,1090361.0536426243
2007-07,78,1104521.5868068142
2007-07,79,1118682.119971004
2007-07,80,1132842.653135194
2007-07,81,1147003.1862993839
2007-07,82,1161163.7194635738
2007-07,83,1175324.2526277637
2007-07,84,1189484.7857919536
2007-07,85,1203645.3189561437
2007-07,86,1217805.8521203336
2007-07,87,1231966.3852845235
2007-07,88,1246126.9184487134
2007-07,89,1260287.4516129033
2007-07,90,1274447.9847770932
2007-07,91,1288608.517941283
2007-07,92,1302769.0511054732
2007-07,93,1316929.584269663
2007-07,94,1331090.117433853
2007-07,95,1345250.6505980429
2007-07,96,1359411.1837622328
2007-07,97,1373571.7169264227
2007-07,98,1387732.2500906126
2007-07,99,1401892.7832548025
2007-07,100,1416053.3164189924
2007-07,101,1430213.8495831825
2007-07,102,1444374.3827473724
2007-07,103,1458534.9159115623
2007-07,104,1472695.4490757522
2007-07,105,1486855.982239942
2007-07,106,1501016.515404132
2007-07,107,1515177.0485683219
2007-07,108,1529337.581732512
2007-07,109,1543498.1148967019
2007-07,110,1557658.6480608918
2007-07,111,1571819.1812250817
2007-07,112,1585979.7143892716
2007-07,113,1600140.2475534615
2007-07,114,1614300.7807176514
2007-07,115,1628461.3138818413
2007-07,116,1642621.8470460312
2007-07,117,1656782.3802102213
2007-07,118,1670942.9133744112
2007-07,119,1685103.446538601
2007-07,120,1699263.979702791
2007-07,121,1713424.5128669809
2007-07,122,1727585.0460311708
2007-07,123,1741745.5791953607
2007-07,124,1755906.1123595508
2007-07,125,1770066.6455237407
2007-07,126,1784227.1786879306
2007-07,127,1798387.7118521205
2007-07,128,1812548.2450163104
2007-07,129,1826708.7781805003
2007-07,130,1840869.3113446902
2007-07,131,1855029.84450888
2007-07,132,1869190.37767307
2007-07,133,1883350.91083726
2007-07,134,1897511.44400145
2007-07,135,1911671.9771656399
2007-07,136,1925832.5103298298
2007-07,137,1939993.0434940197
2007-07,138,1954153.5766582096
2007-07,139,1968314.1098223994
2007-07,140,1982474.6429865896
2007-07,141,1996635.1761507795
2007-07,142,2010795.7093149694
2007-07,143,2024956.2424791593
2007-07,144,2039116.7756433492
2007-07,145,2053277.308807539
2007-07,146,2067437.841971729
2007-07,147,2081598.3751359188
2007-07,148,2095758.9083001087
2007-07,149,2109919.441464299
2007-07,150,2124079.9746284885
2007-07,151,2138240.5077926787
